NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,산상수훈,유영의,(주)그란,,"이언픽쳐스,(주)그란",20171207,개봉영화,장편,한국,71,3206000,284,3206000,284,드라마,전체관람가,독립/예술영화
2,교회오빠,이호경,"KBS,커넥트픽쳐스(주)",,커넥트픽쳐스(주),20190516,개봉영화,장편,한국,200,1499000,154,1499000,154,다큐멘터리,전체관람가,독립/예술영화
3,알라딘,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20190523,개봉영화,장편,미국,1311,28482000,3611,20536000,2567,어드벤처,전체관람가,일반영화
4,기생충,봉준호,(주)바른손이앤에이,,(주)씨제이이엔엠,20190530,개봉영화,장편,한국,1948,1575865450,227811,684991280,97354,드라마,15세이상관람가,일반영화
5,천로역정: 천국을 찾아서,로버트 페르난데스,,(재)CBS,"(재)CBS,주식회사 마운틴픽쳐스",20190613,개봉영화,장편,미국,381,809000,397,0,0,애니메이션,전체관람가,독립/예술영화
6,주전장,미키 데자키,,(주)시네마달,(주)시네마달,20190725,개봉영화,장편,미국,56,276000,46,276000,46,다큐멘터리,전체관람가,독립/예술영화
7,엑시트,이상근,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,20190731,개봉영화,장편,한국,1660,200000,40,0,0,코미디,12세이상관람가,일반영화
8,김복동,송원근,한국탐사저널리즘센터,,(주)엣나인필름,20190808,개봉영화,장편,한국,366,770000,110,0,0,다큐멘터리,12세이상관람가,독립/예술영화
9,이타미 준의 바다,정다운,기린그림,,(주)영화사 진진,20190815,개봉영화,장편,한국,57,865000,144,865000,144,다큐멘터리,전체관람가,독립/예술영화
10,벌새,김보라,에피파니(주),,"(주)엣나인필름,(주)콘텐츠판다",20190829,개봉영화,장편,한국,145,22672400,2721,18210500,2082,드라마,15세이상관람가,독립/예술영화
11,메기,이옥섭,"국가인권위원회,2X9HD",,"(주)엣나인필름,CGV아트하우스",20190926,개봉영화,장편,한국,155,6143000,745,5394000,632,미스터리,15세이상관람가,독립/예술영화
12,조커,토드 필립스,,워너브러더스 코리아(주),워너브러더스 코리아(주),20191002,개봉영화,장편,미국,1418,62016680,7434,34138500,4070,액션,15세이상관람가,일반영화
13,북간도의 십자가,반태경,(재)CBS,,"(재)CBS,주식회사 마운틴픽쳐스",20191017,개봉영화,장편,한국,123,385000,52,385000,52,다큐멘터리,전체관람가,독립/예술영화
14,82년생 김지영,김도영,(주)봄바람영화사,,롯데컬처웍스(주)롯데엔터테인먼트,20191023,개봉영화,장편,한국,1486,7202000,863,1662000,189,드라마,12세이상관람가,일반영화
15,더 킹: 헨리 5세,데이비드 미쇼,,,판씨네마(주),20191023,개봉영화,장편,네덜란드,146,650000,107,0,0,드라마,청소년관람불가,독립/예술영화
